player,position,number,nat.,url,marketValue
Alberto García,Goalkeeper,1,Spain,https://www.transfermarkt.com/alberto-garcia/profil/spieler/58497,0.5
Miguel Ángel Morro,Goalkeeper,unknown,Spain,https://www.transfermarkt.com/miguel-angel-morro/profil/spieler/607780,0.1
Jordi Amat,Centre-Back,16,Spain,https://www.transfermarkt.com/jordi-amat/profil/spieler/85289,3.0
Abdoulaye Ba,Centre-Back,21,"['Senegal', 'Portugal']",https://www.transfermarkt.com/abdoulaye-ba/profil/spieler/106837,2.5
Mario Suárez,Centre-Back,15,Spain,https://www.transfermarkt.com/mario-suarez/profil/spieler/37337,2.0
Emiliano Velázquez,Centre-Back,20,Uruguay,https://www.transfermarkt.com/emiliano-velazquez/profil/spieler/189458,1.5
Alejandro Gálvez,Centre-Back,23,Spain,https://www.transfermarkt.com/alejandro-galvez/profil/spieler/128488,1.5
José León,Centre-Back,unknown,Spain,https://www.transfermarkt.com/jose-leon/profil/spieler/281773,0.4
Alejandro Catena,Centre-Back,5,Spain,https://www.transfermarkt.com/alejandro-catena/profil/spieler/449796,0.4
Chechu Dorado,Centre-Back,unknown,Spain,https://www.transfermarkt.com/chechu-dorado/profil/spieler/70898,0.2
Martín Pascual,Centre-Back,unknown,Spain,https://www.transfermarkt.com/martin-pascual/profil/spieler/638588,0.1
Álex Moreno,Left-Back,7,Spain,https://www.transfermarkt.com/alex-moreno/profil/spieler/193098,12.0
Sergio Akieme,Left-Back,28,"['Equatorial Guinea', 'Spain']",https://www.transfermarkt.com/sergio-akieme/profil/spieler/355627,0.3
Luis Meseguer,Left-Back,unknown,"['Equatorial Guinea', 'Spain']",https://www.transfermarkt.com/luis-meseguer/profil/spieler/603621,0.1
Luis Advíncula,Right-Back,unknown,Peru,https://www.transfermarkt.com/luis-advincula/profil/spieler/103890,3.0
Tito,Right-Back,2,Spain,https://www.transfermarkt.com/tito/profil/spieler/128295,0.5
Giannelli Imbula,Defensive Midfield,unknown,"['DR Congo', 'France']",https://www.transfermarkt.com/giannelli-imbula/profil/spieler/130756,5.0
Uche Agbo,Defensive Midfield,unknown,Nigeria,https://www.transfermarkt.com/uche-agbo/profil/spieler/262689,3.0
Santi Comesaña,Central Midfield,27,Spain,https://www.transfermarkt.com/santi-comesana/profil/spieler/380598,4.0
Álvaro Medrán,Central Midfield,unknown,Spain,https://www.transfermarkt.com/alvaro-medran/profil/spieler/253839,1.8
Gorka Elustondo,Central Midfield,6,Spain,https://www.transfermarkt.com/gorka-elustondo/profil/spieler/47647,0.4
Manuel Navarro,Central Midfield,unknown,Spain,https://www.transfermarkt.com/manuel-navarro/profil/spieler/629020,0.1
Ángel Algobia,Central Midfield,unknown,"['Spain', 'Portugal']",https://www.transfermarkt.com/angel-algobia/profil/spieler/638589,0.1
José Pozo,Attacking Midfield,22,Spain,https://www.transfermarkt.com/jose-pozo/profil/spieler/195605,3.0
Óscar Trejo,Attacking Midfield,8,"['Argentina', 'Italy']",https://www.transfermarkt.com/oscar-trejo/profil/spieler/30321,2.0
Gaël Kakuta,Attacking Midfield,10,"['DR Congo', 'France']",https://www.transfermarkt.com/gael-kakuta/profil/spieler/74297,2.0
